"","Property_Rights","Government_Integrity","Judicial_Effectiveness","Tax_Burden","Government_Spending","Fiscal_Health","Business_Freedom","Labor_Freedom","Monetary_Freedom","Trade_Freedom","Investment_Freedom","Financial_Freedom","Cluster","Country","Promedio_10_Años_GDP_PerCap","Promedio_10_Años_Crec_pib","Efectividad.gobierno","Control.corrupcion","Cal.Regulacion","Voz_y_Rendicion_cuentas","Overall_score"
"53",27.7,33.8,20.6,78.4,94.4,79,44.1,39.3,49.8,57.4,30,20,"2","Ethiopia",797.611647081818,8.08459130510954,-0.768662095069885,-0.465061634778976,-1.0210794210434,-1.06066715717316,47.9
"54",59.9,52.5,46.2,89.7,67,3.4,64.9,69.1,73.8,64.4,55,50,"1","Fiji",5365.8706909104,2.84233357328065,0.490778684616089,0.50627201795578,-0.0902230963110924,0.186145916581154,58
"55",100,94.2,97.6,67.8,8.2,74.3,88.8,65.5,75.4,79.2,85,80,"1","Finland",48651.4386784333,0.723316115064447,1.73860657215118,2.22151660919189,1.76514935493469,1.63263607025146,76.3
"56",93.1,73.7,84.2,53.1,0,6.9,82,60.5,71.6,79.2,75,70,"1","France",40793.2913361085,1.12839683361225,1.14462625980377,1.18482184410095,1.15350544452667,1.15460133552551,62.5
"57",26.7,23.7,19.4,77.4,90.8,92.5,63.5,54.8,78.6,55.2,60,40,"2","Gabon",7737.2460844834,2.38809673017184,-0.779809296131134,-1.01552844047546,-0.704819560050964,-0.919151186943054,56.9
"58",53.3,61.1,54.8,89.1,69.6,39.9,74.4,63,69.3,86.4,80,80,"1","Georgia",5103.13007905254,5.07016073747745,0.791285872459412,0.617694795131683,0.946578145027161,0.0347131341695786,68.4
"59",95.3,86,93,59.3,24.1,71.9,84.2,53.7,68.8,79.2,80,70,"1","Germany",47887.5659771971,1.09106090431191,1.18541669845581,1.66416621208191,1.45697498321533,1.46138572692871,72.1
"60",50.1,43.9,57.3,79.5,75.5,2.9,52.9,55.7,58.6,63,70,60,"2","Ghana",2129.17683067484,4.4411305620011,-0.092661589384079,-0.0990211144089699,-0.18065220117569,0.410351544618607,55.8
"61",76.9,55.2,69.9,60.6,3.4,5.6,73.9,62.8,68.9,79.2,55,50,"1","Greece",19972.981277837,1.05536623216531,0.148003026843071,0.0978469252586365,0.578935325145721,1.01216721534729,55.1
"62",38.8,22.8,27.9,91.3,93.7,87.5,66.4,50.4,74.6,75,70,50,"2","Guatemala",4435.39668156611,3.58073243453753,-0.897167265415192,-1.12161290645599,-0.290354937314987,-0.53369927406311,62.4
"63",21.7,23.9,26.7,70.1,92.7,92.2,44.9,48.8,69,59.4,50,40,"2","Guinea",1002.4938463544,5.9607687062645,-0.907938599586487,-0.897673428058624,-1.07605743408203,-1.14505314826965,53.3
"64",26.5,19.3,14.7,88.9,83.1,7.1,32.4,55,74.2,50.6,30,30,"2","Guinea-Bissau",777.526011997526,4.29502140343876,-1.43258428573608,-1.1783698797226,-1.24987518787384,-0.436878204345703,42.7
"65",46.8,39.2,48.3,74.9,80.2,25.8,70.9,76.7,75.5,64.4,55,30,"2","Guyana",8771.74490079286,16.7308971031806,-0.294486999511719,-0.383745014667511,-0.563037872314453,0.148810401558876,57.3
"66",12,12.5,17.5,81.7,97.5,89.9,32.4,55.1,53.8,66.4,30,30,"2","Haiti",1498.50158629213,0.38467240743948,-2.22533392906189,-1.44387412071228,-1.39060175418854,-1.17997741699219,48.2
"67",37.5,21.3,27.7,83,78.6,88.8,64.5,38.7,67.7,70.4,65,60,"2","Honduras",2499.74951676171,3.2869639295299,-0.795222759246826,-1.11195814609528,-0.550886929035187,-0.45370152592659,58.6
"68",69.6,44.3,63,85.4,27.7,11.5,73.5,62,68.8,79.2,80,70,"1","Hungary",16095.0860829334,2.97195419738555,0.372758895158768,-0.000498130626510829,0.318309366703033,0.35952889919281,61.2
"69",96.5,83.7,95.3,73.6,26.3,10.5,87.4,68,73.4,80.8,80,70,"1","Iceland",65230.5840552416,3.66079724009154,1.55512094497681,1.55130612850189,1.28444385528564,1.44590175151825,70.5
"70",49.2,40.8,52.1,73.7,73.5,6.9,68.3,58.4,69.1,62.2,40,40,"2","India",1928.73502430684,6.02012803817482,0.47511014342308,-0.366014748811722,-0.136969581246376,0.0944044888019562,52.9
"71",39.2,38.6,44.5,81.7,90.2,66.8,73.1,59.5,78.4,79.6,50,60,"2","Indonesia",3939.2803872418,4.33905342149243,0.58032637834549,-0.48687219619751,0.301378756761551,0.138982817530632,63.5
"72",93.5,83.4,94.3,78,82.4,91.7,91.3,62.8,74.5,79.2,90,70,"1","Ireland",79815.3518104882,7.86399518728507,1.59114551544189,1.5752888917923,1.74936389923096,1.48345601558685,82.6
"73",82.1,65.5,84.4,59.3,50.7,58.6,80.8,58,78.4,83,70,70,"1","Israel",43701.932644138,3.97294891376752,1.1453697681427,0.829359412193298,1.12179791927338,0.64426463842392,70.1
"74",81.6,60.7,77.7,57,2.5,0,77.6,70.7,74.1,79.2,80,60,"1","Italy",34337.1137076667,0.780383793055546,0.611036896705627,0.550129175186157,0.644031763076782,1.11553084850311,60.1
"75",66.1,48.4,69.7,77,71.5,87.5,69.9,64.9,71.2,71.6,70,50,"1","Jamaica",5411.21206035195,0.853294575606283,0.407290458679199,-0.112082988023758,0.0980334356427193,0.56428599357605,68.1
"76",94.6,82.6,93.6,63.3,42.5,0,77.5,68.6,81.7,75.8,70,60,"1","Japan",38235.8545411379,0.688933682531505,1.63126504421234,1.3956606388092,1.46932590007782,1.10550534725189,67.5
"77",54,48.4,43.4,84.4,67.8,2.3,62.8,56.5,78.7,71.4,70,60,"1","Jordan",4173.30372060404,2.22793115389916,0.386213511228561,0.0886586904525757,0.217705458402634,-0.774707794189453,58.3
"78",54.1,36.5,33.8,92.6,84.4,73.7,69.7,62.6,62.6,74.6,50,50,"2","Kazakhstan",10399.0789979638,3.2090909090056,0.146814674139023,-0.26659306883812,0.0659545287489891,-1.00384140014648,62
"79",40.8,31,47.7,79.7,82.8,11.1,57.7,57.3,73.2,57.2,55,50,"2","Kenya",1764.74307339527,4.57571256645793,-0.303605198860168,-0.770913004875183,-0.390806585550308,-0.124170683324337,53.6
"80",73.2,49,66.7,70.7,0,19.5,60.9,58.4,76.9,80,30,30,"1","Kiribati",1874.00231105083,4.89376063997163,-0.096573106944561,0.411750495433807,-0.278862416744232,1.08984088897705,51.3
"81",48.2,41,31.8,90.7,72.3,82.3,68,47.5,66.4,84.2,65,30,"2","Kosovo",4411.73209917714,4.26529139127688,-0.0800606161355972,-0.185286059975624,-0.295387387275696,-0.0888094082474709,60.6
"82",42.1,41.9,41.4,97.7,11.3,100,56.2,53,67.9,75.6,55,60,"2","Kuwait",34285.0791905099,0.466028344123157,0.0075402706861496,0.206611827015877,0.320921540260315,-0.594156503677368,58.5
"83",22.4,24.8,11.4,94,66,92.2,55,52.3,62.4,71.8,60,50,"2","Kyrgyz Republic",1359.94729713563,4.520599050373,-0.890727877616882,-1.22109532356262,-0.616720378398895,-0.723200380802155,55.2
"84",87.6,64.8,73,76.6,48.5,67.3,82,66.3,67.8,79.2,85,60,"1","Latvia",17006.3463671744,2.35523809662399,0.696560978889465,0.698113977909088,1.17222261428833,0.993027687072754,71.5
